FID,serial,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,id_zonamusculacion,nomzonamusculacion,ubicacion,foto,id_maquina,nommaquina,nivel,icono,funcion,desarrollo,precauciones,maquinafoto1,maquinafoto2,x,y
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f08,23087,POINT (-4.545411000271775 36.72797903492813),,,,,,,-1,-1,-1,0,,123,Cl. Ignacio Sanchez Mejías,Número 1 (Junto Asociación de Jubilados La Unión),http://geoportal.malaga.eu/img/deportes/fz_123.jpg,9,Disco de dedos y muñecas,1,http://geoportal.malaga.eu/img/deportes/im9.png,"Aumentar, o mantener, la flexibilidad de muñecas y dedos.",Coja el disco con los dedos de una mano y hágalo girar a derecha e izquierda. Primero con una mano y luego con la otra.,Los movimientos deben ser lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_9_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_9_2.jpg,362002.3199,4065809.9963
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f07,23088,POINT (-4.545411000271775 36.72797903492813),,,,,,,-1,-1,-1,0,,123,Cl. Ignacio Sanchez Mejías,Número 1 (Junto Asociación de Jubilados La Unión),http://geoportal.malaga.eu/img/deportes/fz_123.jpg,30,Asiento con apoyo,2,http://geoportal.malaga.eu/img/deportes/im30.png,Fortalecer muslos y glúteos.,Siéntese y sujete la barra que está frente a usted con ambas manos. Ayúdese de sus brazos para elevarse y volver a sentarse.,Realizar movimientos lentos controlados para evitar desequilibrios.,http://geoportal.malaga.eu/img/deportes/fm_30_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_30_2.jpg,362002.3199,4065809.9963
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f06,23089,POINT (-4.545411000271775 36.72797903492813),,,,,,,-1,-1,-1,0,,123,Cl. Ignacio Sanchez Mejías,Número 1 (Junto Asociación de Jubilados La Unión),http://geoportal.malaga.eu/img/deportes/fz_123.jpg,37,Plataforma de estiramiento,2,http://geoportal.malaga.eu/img/deportes/im37.png,Aumentar la movilidad en caderas y rodillas. Estirar los músculos flexores de la cadera.,"Situados frente a la plataforma, con la espalda recta, nos cogemos con ambas manos, apoyando un pie en el borde de la misma. Desplazamos el otro pie hacia atrás y movemos el cuerpo hacia delante flexionando las rodillas.",Agarrarse firmemente a la barra de sujeción para evitar desequilibrios.,http://geoportal.malaga.eu/img/deportes/fm_37_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_37_2.jpg,362002.3199,4065809.9963
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f05,23090,POINT (-4.545411000271775 36.72797903492813),,,,,,,-1,-1,-1,0,,123,Cl. Ignacio Sanchez Mejías,Número 1 (Junto Asociación de Jubilados La Unión),http://geoportal.malaga.eu/img/deportes/fz_123.jpg,54,Barra de dominadas,4,http://geoportal.malaga.eu/img/deportes/im54.png,"Desarrollar la musculatura de espalda, pecho y brazos.","Colóquese bajo la barra y agárrese a esta, extendiendo los brazos hacia arriba. Cargue el peso en los brazos, flexione sus codos e intente elevar su cuerpo hasta acercar el pecho a la barra.","Ejercicio de fuerza. Debe realizarse de manera controlada para evitar caídas.En caso de dolor o molestia, suspender la ejecución.",http://geoportal.malaga.eu/img/deportes/fm_54_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_54_2.jpg,362002.3199,4065809.9963
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f04,23091,POINT (-4.542434999826504 36.725877034793314),,,,,,,-1,-1,-1,0,,124,Cl. La Cenicienta,Números  5-7,http://geoportal.malaga.eu/img/deportes/fz_124.jpg,11,Escalera de dedos,1,http://geoportal.malaga.eu/img/deportes/im11.png,Aumentar la amplitud de movimientos del hombro.Ejercitar los dedos.,"Nos colocamos frente a la máquina, con la espalda erguida, piernas separadas y ligeramente flexionadas. Ponemos un dedo índice en el escalón situado a la altura del pecho, y vamos subiendo subiendo lenta y consecutivamente, intentando tocar con cada dedo de la mano un escalón diferente. Una vez que alcancemos la altura máxima, repetiremos el ejercicio, esta vez de arriba hacia abajo.Y después, repetimos el ejercicio con los dedos de la otra mano.","Evitar permanecer con la barbilla hacia arriba, para prevenir molestias cervicales.",http://geoportal.malaga.eu/img/deportes/fm_11_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_11_2.jpg,362264.3257,4065572.5174
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f03,23092,POINT (-4.542434999826504 36.725877034793314),,,,,,,-1,-1,-1,0,,124,Cl. La Cenicienta,Números  5-7,http://geoportal.malaga.eu/img/deportes/fz_124.jpg,13,Giro de cintura sentado,1,http://geoportal.malaga.eu/img/deportes/im13.png,Mejorar la musculatura abdominal.,"Sentados sobre la plataforma giratoria, con las manos agarrando la empuñadura, realizamos rotaciones de caderas, llevando rodillas de un lado a otro y manteniendo quietos los hombros.",Debe realizar movimientos lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_13_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_13_2.jpg,362264.3257,4065572.5174
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f02,23093,POINT (-4.542434999826504 36.725877034793314),,,,,,,-1,-1,-1,0,,124,Cl. La Cenicienta,Números  5-7,http://geoportal.malaga.eu/img/deportes/fz_124.jpg,14,Giro de cintura,1,http://geoportal.malaga.eu/img/deportes/im14.png,Mejorar la musculatura abdominal.,"De pie, en la plataforma giratoria, con las manos en las empuñaduras y manteniendo el tronco derecho, se realizan rotaciones de la pelvis, de un lado a otro, manteniendo los hombros inmóviles.",No recomendado a personas con problemas lumbares.Evitar las rotaciones bruscas.,http://geoportal.malaga.eu/img/deportes/fm_14_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_14_2.jpg,362264.3257,4065572.5174
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f01,23094,POINT (-4.542434999826504 36.725877034793314),,,,,,,-1,-1,-1,0,,124,Cl. La Cenicienta,Números  5-7,http://geoportal.malaga.eu/img/deportes/fz_124.jpg,27,Timón o Rueda de hombros,1,http://geoportal.malaga.eu/img/deportes/im27.png,Mantener o aumentar la movilidad articular del hombro y del codo.,"Colóquese de lado al aparato y, agarrando el asidero, gire la rueda en un sentido y en otro.Realice ahora el mismo movimiento de frente al aparato.",Los movimientos deben ser lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_27_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_27_2.jpg,362264.3257,4065572.5174
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f00,23095,POINT (-4.542434999826504 36.725877034793314),,,,,,,-1,-1,-1,0,,124,Cl. La Cenicienta,Números  5-7,http://geoportal.malaga.eu/img/deportes/fz_124.jpg,28,Volante,1,http://geoportal.malaga.eu/img/deportes/im28.png,"Mejorar la movilidad de hombros, codos y muñecas.","Hay dos modalidades:1.- Situado de lado al aparato, realice movimientos circulares con una mano. Repita con la otra mano (Ver imagen).2.- Situdado frente a las ruedas, agarre cada asidero con una mano. Gire ambas ruedas hacia fuera, a continuación cambie el sentido de la rotación.",Realizar movimientos lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_28_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_28_2.jpg,362264.3257,4065572.5174
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4eff,23096,POINT (-4.542434999826504 36.725877034793314),,,,,,,-1,-1,-1,0,,124,Cl. La Cenicienta,Números  5-7,http://geoportal.malaga.eu/img/deportes/fz_124.jpg,8,Bicicleta doble de pies y manos,1,http://geoportal.malaga.eu/img/deportes/im8.png,Aumentar la resistencia de los miembros inferiores y superiores.Mejorar la amplitud articular en la rodilla.,"Siéntese en el banco, coloque ambos pies sobre los pedales y las manos sobre los asideros. Pedalee de manera coordinada hacia delante.",Los movimientos deben ser lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_8_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_8_2.jpg,362264.3257,4065572.5174
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4efe,23097,POINT (-4.542434999826504 36.725877034793314),,,,,,,-1,-1,-1,0,,124,Cl. La Cenicienta,Números  5-7,http://geoportal.malaga.eu/img/deportes/fz_124.jpg,33,Elíptica,2,http://geoportal.malaga.eu/img/deportes/im33.png,"Mejorar la movilidad, tonicidad y coordinación de miembros superiores e inferiores.Desarrollar la capacidad cardiaca y pulmonar.","Súbase a los estribos, sujetándose a las manillas.Mueva las piernas y los brazos alternativamente, como si estuviera caminando.","Al disponer de partes móviles, se debe tener mucho cuidado al subir y bajar del aparato.",http://geoportal.malaga.eu/img/deportes/fm_33_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_33_2.jpg,362264.3257,4065572.5174
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4efd,23098,POINT (-4.542434999826504 36.725877034793314),,,,,,,-1,-1,-1,0,,124,Cl. La Cenicienta,Números  5-7,http://geoportal.malaga.eu/img/deportes/fz_124.jpg,42,Ascensor o pullover vertical,3,http://geoportal.malaga.eu/img/deportes/im42.png,Mejorar la amplitud de la articulación del hombro. Fortalecer los músculos de la espalda y la zona anterior de brazos y antebrazos.,Nos sentamos mirando hacia fuera y con las manos agarrando las barras superiores. Flexionamos codos y empujamos hacia abajo acercando los codos al cuerpo.,Realizar los movimientos de forma controlada.,http://geoportal.malaga.eu/img/deportes/fm_42_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_42_2.jpg,362264.3257,4065572.5174
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4efc,23099,POINT (-4.542434999826504 36.725877034793314),,,,,,,-1,-1,-1,0,,124,Cl. La Cenicienta,Números  5-7,http://geoportal.malaga.eu/img/deportes/fz_124.jpg,46,Espaldera inclinada,3,http://geoportal.malaga.eu/img/deportes/im46.png,Aumentar la amplitud de movimientos en hombros y columna.,Apoye la espalda cuidadosamente sobre la estructura y eleve los brazos hasta agarrar el arco superior.,Ejercicio contraindicado para personas con problemas de espalda y cuello. No se deben elevar las piernas.,http://geoportal.malaga.eu/img/deportes/fm_46_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_46_2.jpg,362264.3257,4065572.5174
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4efb,23100,POINT (-4.542434999826504 36.725877034793314),,,,,,,-1,-1,-1,0,,124,Cl. La Cenicienta,Números  5-7,http://geoportal.malaga.eu/img/deportes/fz_124.jpg,58,Máquina de fondos,4,http://geoportal.malaga.eu/img/deportes/im58.png,Fortalecer la musculatura del hombro y abdomen.Aumentar la fuerza muscular de la espalda.,Súbase al aparato apoyando los brazos sobre las barras y dejando piernas en el aire. Flexione y extienda sus codos.,"Ejercicio de fuerza. Debe realizarse de manera controlada.En caso de dolor o molestia, suspenda la ejecución.",http://geoportal.malaga.eu/img/deportes/fm_58_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_58_2.jpg,362264.3257,4065572.5174
